velocidad:	9,732m/s
impactor:	3,5kg
ángulo:	50º
HIC:	472.3
Impacto en medio del capó	
tiempo	X	Y	Z
000000000000TI00	D0HEAD0000PCACXP	D0HEAD0000PCACYP	D0HEAD0000PCACZP
-0.005	-0.036214925	-0.025455503	0.015068192
-0.00495	-0.004023887	0.039399238	-0.033538859
-0.0049	-0.052310444	-0.009241788	-0.001134139
-0.00485	-0.036214925	-0.025455503	-0.06594358
-0.0048	-0.052310444	0.023185582	-0.082145911
-0.00475	-0.036214925	0.023185582	-0.06594358
-0.0047	-0.036214925	-0.009241788	-0.033538859
-0.00465	0.028167166	0.006971867	-0.033538859
-0.0046	0.092549257	-0.041669159	-0.033538859
-0.00455	0.060358204	-0.009241788	-0.033538859
-0.0045	0.044262685	0.006971867	-0.033538859
-0.00445	-0.036214925	0.071826608	0.047472913
-0.0044	-0.036214925	0.023185582	0.047472913
-0.00435	0.012071647	-0.009241788	0.047472913
-0.0043	0.028167166	0.006971867	0.096079964
-0.00425	0.076453731	0.055612953	0.031270522
-0.0042	0.060358204	-0.041669159	0.015068192
-0.00415	-0.004023887	-0.009241788	-0.001134139
-0.0041	0.012071647	-0.025455503	-0.06594358
-0.00405	-0.004023887	-0.090310245	-0.146955352
-0.004	-0.004023887	-0.074096529	-0.146955352
-0.00395	-0.020119406	0.006971867	-0.04974125
-0.0039	-0.004023887	-0.057882874	-0.098348301
-0.00385	-0.052310444	0.039399238	-0.098348301
-0.0038	0.028167166	0.088040323	-0.06594358
-0.00375	-0.036214925	-0.009241788	-0.001134139
-0.0037	0.012071647	0.006971867	0.063675243
-0.00365	-0.036214925	-0.009241788	0.015068192
-0.0036	-0.004023887	-0.041669159	0.063675243
-0.00355	-0.004023887	0.023185582	0.096079964
-0.0035	0.044262685	0.039399238	0.144687015
-0.00345	0.076453731	0.088040323	0.079877574
-0.0034	0.044262685	0.023185582	0.047472913
-0.00335	0.028167166	-0.009241788	-0.033538859
-0.0033	0.028167166	-0.025455503	-0.082145911
-0.00325	-0.036214925	-0.057882874	-0.04974125
-0.0032	-0.020119406	-0.025455503	-0.017336529
-0.00315	0.012071647	-0.009241788	0.015068192
-0.0031	-0.052310444	-0.009241788	-0.033538859
-0.00305	0.012071647	0.023185582	-0.04974125
-0.003	0.028167166	0.023185582	-0.001134139
-0.00295	0.028167166	0.088040323	0.015068192
-0.0029	-0.004023887	0.071826608	0.015068192
-0.00285	0.060358204	-0.025455503	-0.033538859
-0.0028	-0.020119406	0.039399238	-0.082145911
-0.00275	-0.036214925	0.055612953	-0.114550632
-0.0027	-0.068405963	0.055612953	-0.001134139
-0.00265	-0.068405963	-0.009241788	0.015068192
-0.0026	-0.020119406	0.006971867	0.063675243
-0.00255	0.076453731	-0.009241788	0.047472913
-0.0025	0.012071647	-0.041669159	-0.001134139
-0.00245	0.028167166	-0.041669159	-0.06594358
-0.0024	0.028167166	0.088040323	-0.04974125
-0.00235	-0.004023887	0.104253979	-0.04974125
-0.0023	-0.004023887	0.152895064	0.015068192
-0.00225	0.012071647	0.088040323	-0.017336529
-0.0022	0.060358204	-0.041669159	0.015068192
-0.00215	0.028167166	-0.074096529	-0.017336529
-0.0021	-0.036214925	-0.122737615	-0.017336529
-0.00205	-0.068405963	-0.090310245	0.031270522
-0.002	-0.052310444	-0.074096529	0.015068192
-0.00195	-0.068405963	-0.074096529	-0.017336529
-0.0019	-0.068405963	-0.041669159	-0.017336529
-0.00185	-0.036214925	-0.041669159	-0.001134139
-0.0018	-0.020119406	-0.041669159	-0.017336529
-0.00175	0.012071647	0.006971867	0.015068192
-0.0017	-0.004023887	0.039399238	0.047472913
-0.00165	0.012071647	0.039399238	0.031270522
-0.0016	0.028167166	-0.009241788	-0.001134139
-0.00155	-0.004023887	0.039399238	0.015068192
-0.0015	0.060358204	0.039399238	0.015068192
-0.00145	-0.004023887	0.055612953	0.031270522
-0.0014	-0.004023887	-0.009241788	0.079877574
-0.00135	0.012071647	-0.025455503	0.047472913
-0.0013	0.028167166	0.006971867	-0.033538859
-0.00125	0.028167166	0.006971867	-0.033538859
-0.0012	0.076453731	-0.009241788	-0.04974125
-0.00115	-0.036214925	-0.025455503	0.015068192
-0.0011	-0.020119406	0.055612953	0.031270522
-0.00105	-0.004023887	0.055612953	0.063675243
-0.001	-0.020119406	0.023185582	0.047472913
-0.00095	0.012071647	0.023185582	0.015068192
-0.0009	-0.004023887	-0.009241788	0.015068192
-0.00085	-0.004023887	0.006971867	0.031270522
-0.0008	-0.052310444	-0.041669159	-0.017336529
-0.00075	-0.068405963	-0.090310245	0.063675243
-0.0007	-0.020119406	-0.074096529	-0.001134139
-0.00065	0.028167166	-0.041669159	0.015068192
-0.0006	0.012071647	0.006971867	0.079877574
-0.00055	0.028167166	-0.009241788	0.031270522
-0.0005	0.044262685	-0.041669159	0.047472913
-0.00045	-0.004023887	-0.025455503	-0.017336529
-0.0004	0.028167166	0.039399238	0.047472913
-0.00035	-0.020119406	-0.025455503	0.079877574
-0.0003	-0.036214925	-0.009241788	0.063675243
-0.00025	-0.084501482	-0.025455503	0.063675243
-0.0002	-0.004023887	-0.041669159	0.031270522
-0.00015	0.028167166	0.023185582	0.031270522
-0.0001	0.060358204	0.006971867	-0.04974125
-5.00E-05	0.012071647	0.023185582	-0.04974125
0	0.012071647	-0.009241788	-0.001134139
5.00E-05	-0.004023887	-0.057882874	0.063675243
0.0001	0.108644776	-0.138951271	0.177091736
0.00015	0.076453731	-0.090310245	0.792781126
0.0002	0.543223881	-1.160413473	2.688456435
0.00025	2.088393979	-3.268192618	5.345642228
0.0003	3.826710396	-4.030235856	7.905614037
0.00035	4.486627035	-3.754602997	10.06052699
0.0004	4.100334339	-4.241013615	12.00480952
0.00045	4.180811815	-4.159945338	14.678198
0.0005	4.341767244	-4.241013615	17.87006201
0.00055	3.90718811	-4.468005269	21.22394766
0.0006	3.102411919	-3.900526373	24.95048918
0.00065	2.41030448	-3.851885169	29.24411215
0.0007	1.879152231	-4.386936753	34.39646162
0.00075	1.187044792	-4.954415886	40.0834886
0.0008	0.5593194	-5.878595917	46.41860594
0.00085	0.20521791	-6.770348637	53.15878691
0.0009	-0.004023887	-7.224331944	60.17440428
0.00095	-0.406411953	-7.499964325	67.15761961
0.001	-0.937564201	-7.808024495	74.15703215
0.00105	-1.178996987	-7.516178219	81.0106317
0.0011	-1.452620931	-7.240545361	87.49157347
0.00115	-2.048155136	-6.818989842	93.32442107
0.0012	-2.498829908	-5.797527401	98.42815794
0.00125	-3.046077557	-4.613928406	102.5273553
0.0013	-3.834758348	-3.3979021	105.5896036
0.00135	-4.591247625	-1.776533453	107.7931177
0.0014	-5.396023817	-0.349729179	109.3161432
0.00145	-6.506614752	0.736587675	110.3206903
0.0015	-7.697683401	1.790477188	110.9363748
0.00155	-8.486363955	2.828153045	111.2604257
0.0016	-8.904847689	3.687478454	111.3738367
0.00165	-9.242853708	4.465735347	111.2442209
0.0017	-9.452095575	4.887291343	110.9363748
0.00175	-9.387713022	5.308846862	110.3530923
0.0018	-9.19456727	5.746616275	109.6239892
0.00185	-9.097994394	5.681761653	108.7976648
0.0019	-9.065803118	5.714188964	107.9551431
0.00195	-9.081898279	5.600693138	107.2746469
0.002	-9.081898279	5.24399224	106.561741
0.00205	-9.049707003	4.952145965	105.9298517
0.0021	-9.01751668	4.952145965	105.1521341
0.00215	-9.162375994	4.90350476	104.0503732
0.0022	-9.419904299	4.887291343	102.8352014
0.00225	-9.645241327	4.854863555	101.7172357
0.0023	-9.613051004	4.741368206	100.7775003
0.00235	-9.677432604	4.741368206	99.96738066
0.0024	-10.01543862	4.838650138	99.15726866
0.00245	-10.16029889	4.919718654	98.10411467
0.0025	-10.0476299	4.952145965	96.88893523
0.00255	-9.983247347	4.952145965	95.78717436
0.0026	-10.03153474	4.595444591	94.7502252
0.00265	-10.03153474	4.076606662	94.02112212
0.0027	-9.854483194	3.800974281	93.56745543
0.00275	-9.757910318	3.76854697	92.96796812
0.0028	-9.77400548	3.963111312	92.23886504
0.00285	-9.886674471	4.222530277	91.29912199
0.0029	-10.07982118	4.368453414	90.19736113
0.00295	-10.09591634	4.481949241	88.99839415
0.003	-10.09591634	4.481949241	87.65359892
0.00305	-10.27296693	4.546803863	86.14677824
0.0031	-10.30515821	4.546803863	84.78577818
0.00315	-10.03153474	4.449521453	83.71642699
0.0032	-9.790101595	4.238743694	82.87389769
0.00325	-9.693528719	3.946897418	82.20960631
0.0033	-9.70962388	3.687478454	81.78834166
0.00335	-9.564764566	3.411845596	81.48049559
0.0034	-9.468190737	3.103785665	81.18885436
0.00345	-9.452095575	2.909221561	80.60557188
0.0035	-9.500382013	2.795725734	79.69823851
0.00355	-9.693528719	2.795725734	78.35344328
0.0036	-9.757910318	2.925435216	76.71700682
0.00365	-9.822292871	3.038931043	74.98335661
0.0037	-9.822292871	2.860580595	73.10388579
0.00375	-9.854483194	2.649802597	71.28921904
0.0038	-9.822292871	2.390383632	69.29632964
0.00385	-9.77400548	2.212033184	67.25483336
0.0039	-9.645241327	2.082323701	65.26194395
0.00395	-9.596954889	1.871545703	63.26905455
0.004	-9.387713022	1.693195255	61.40578474
0.00405	-9.114089556	1.482417257	59.5263101
0.0041	-8.92094285	1.271639378	57.56582655
0.00415	-8.74389226	1.125716121	55.63774504
0.0042	-8.550746508	0.639305623	53.70966734
0.00425	-8.309313364	0.233963461	51.97601332
0.0043	-8.019593782	0.006971867	50.20995726
0.00435	-7.874734468	-0.268660753	48.4439012
0.0044	-7.633301325	-0.398370235	46.77505888
0.00445	-7.295295305	-0.511866047	45.44646468
0.0045	-6.925098486	-0.771285004	44.19888319
0.00455	-6.52271039	-1.063131331	42.9999124
0.0046	-6.393946238	-1.354977696	41.78473296
0.00465	-6.072035856	-1.61439666	40.69917693
0.0047	-5.717934198	-2.084593503	39.75944151
0.00475	-5.396023817	-2.619645088	38.78730025
0.0048	-5.138495512	-3.284406273	37.79895415
0.00485	-4.864871569	-3.997808306	37.1022531
0.0049	-4.510769911	-4.824706166	36.85921874
0.00495	-4.140573092	-5.797527401	37.00503935
0.005	-3.770376034	-6.608211606	37.06985106
0.00505	-3.577229805	-7.305399983	37.02124419
0.0051	-3.384083576	-7.775597184	36.84301772
0.00515	-3.3197015	-8.359289734	36.74580397
0.0052	-3.207032747	-8.975409596	36.64858641
0.00525	-3.078268595	-9.364538281	36.5675775
0.0053	-2.98169548	-9.769880383	36.48656477
0.00535	-2.869026966	-10.27250489	36.34074416
0.0054	-2.563211985	-10.79134282	36.50276579
0.00545	-2.209110327	-11.45610341	36.77820601
0.0055	-1.935486622	-11.97494134	36.95643248
0.00555	-1.855008907	-12.10465059	36.9726335
0.0056	-1.710149236	-12.49377927	37.00503935
0.00565	-1.404334373	-13.20718202	37.42630019
0.0057	-0.985850759	-13.95301065	38.17160811
0.00575	-0.583462663	-15.02311429	39.14374937
0.0058	-0.245456703	-16.10943135	40.39133086
