t	Ax	Ay	Az	wx	wy	wz	ax	ay	az	R11	R12	R13	R21	R22	R23	R31	R32	R33
0.0000	-4.478	-6.935	5.672	0.0307	0.7855	0.0563	0.0000	0.0000	0.0000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0001	-4.784	-7.107	0.904	0.0292	0.7562	0.0669	-0.0156	-0.2936	0.1063	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0002	-3.494	-5.802	-4.093	0.0244	0.7424	0.0597	-0.0481	-0.1374	-0.0726	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0003	-2.259	-2.949	-7.271	0.0610	0.7720	0.0146	0.3658	0.2958	-0.4508	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0004	-2.684	0.420	-11.451	0.1431	0.8430	-0.0800	0.8212	0.7095	-0.9454	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0005	-1.657	2.491	-13.734	0.2066	0.9033	-0.1622	0.6355	0.6033	-0.8226	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0006	2.899	2.552	-10.847	0.2034	0.9044	-0.1467	-0.0323	0.0111	0.1555	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
0.0007	7.203	1.013	-4.723	0.1591	0.8671	-0.0622	-0.4432	-0.3732	0.8449	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0008	7.692	-1.447	4.737	0.1179	0.8522	-0.0150	-0.4118	-0.1490	0.4716	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0009	5.837	-3.153	17.489	0.0918	0.8693	-0.0248	-0.2608	0.1710	-0.0975	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0010	5.180	-1.854	25.613	0.0648	0.8669	-0.0134	-0.2704	-0.0240	0.1140	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0011	6.714	1.560	22.985	0.0235	0.8147	0.0504	-0.4131	-0.5220	0.6379	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0012	8.653	3.692	14.896	-0.0186	0.7393	0.1075	-0.4208	-0.7543	0.5708	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0013	9.268	2.639	11.209	-0.0363	0.6870	0.0987	-0.1768	-0.5225	-0.0876	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0014	8.171	-1.326	15.441	-0.0305	0.6826	0.0318	0.0582	-0.0439	-0.6689	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0015	6.551	-4.449	19.746	-0.0420	0.6993	-0.0151	-0.1151	0.1666	-0.4694	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0016	5.842	-2.426	15.903	-0.0883	0.6863	0.0169	-0.4634	-0.1304	0.3199	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0017	5.128	2.190	7.893	-0.1190	0.6371	0.0830	-0.3070	-0.4914	0.6613	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0018	2.359	3.549	2.413	-0.0952	0.5991	0.1151	0.2388	-0.3806	0.3213	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0019	-1.783	1.634	-0.355	-0.0439	0.6163	0.1179	0.5122	0.1724	0.0273	1.000	0.000	0.001	0.000	1.000	0.000	-0.001	0.000	1.000
0.0020	-4.252	0.313	-0.690	-0.0068	0.6689	0.1267	0.3718	0.5264	0.0881	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0021	-3.707	0.623	1.188	0.0002	0.6898	0.1403	0.0693	0.2081	0.1362	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0022	-1.529	1.377	1.709	-0.0100	0.6604	0.1252	-0.1013	-0.2934	-0.1513	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0023	0.538	1.967	0.500	0.0087	0.6429	0.0539	0.1865	-0.1755	-0.7133	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0024	2.186	2.432	1.278	0.0870	0.6872	-0.0581	0.7833	0.4431	-1.1200	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0025	4.243	4.003	1.468	0.1796	0.7584	-0.1402	0.9255	0.7127	-0.8202	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0026	6.602	6.995	-2.216	0.2138	0.7899	-0.1387	0.3425	0.3142	0.0150	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0027	8.165	8.738	-1.160	0.1854	0.7632	-0.0918	-0.2843	-0.2663	0.4684	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0028	8.937	8.087	9.479	0.1416	0.7063	-0.0611	-0.4383	-0.5694	0.3068	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0029	9.403	7.432	16.150	0.1079	0.6532	-0.0403	-0.3370	-0.5306	0.2086	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0030	9.683	7.791	10.831	0.0822	0.6250	0.0014	-0.2567	-0.2821	0.4170	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0031	10.018	7.304	4.338	0.0673	0.6175	0.0574	-0.1490	-0.0751	0.5597	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0032	9.131	4.773	1.715	0.0693	0.6115	0.0974	0.0205	-0.0596	0.4000	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0033	5.318	1.418	-3.181	0.0751	0.5968	0.0978	0.0580	-0.1473	0.0040	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0034	1.139	0.097	-9.304	0.0615	0.5715	0.0771	-0.1364	-0.2529	-0.2074	1.000	0.000	0.002	0.000	1.000	0.000	-0.002	0.000	1.000
0.0035	0.938	2.800	-11.340	0.0339	0.5478	0.0798	-0.2764	-0.2370	0.0279	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0036	3.859	7.031	-9.528	0.0252	0.5521	0.1027	-0.0865	0.0430	0.2283	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0037	5.777	7.324	-4.881	0.0442	0.5866	0.1098	0.1901	0.3446	0.0717	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0038	6.077	2.524	1.285	0.0561	0.6161	0.1063	0.1186	0.2949	-0.0353	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0039	6.758	-2.495	3.608	0.0325	0.6098	0.1162	-0.2358	-0.0632	0.0993	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0040	7.529	-3.892	0.155	-0.0006	0.5759	0.1247	-0.3311	-0.3382	0.0843	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0041	6.980	-2.886	-3.047	0.0038	0.5439	0.1050	0.0440	-0.3207	-0.1967	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0042	6.356	-1.844	-0.650	0.0506	0.5360	0.0637	0.4683	-0.0789	-0.4128	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0043	8.275	-0.072	4.762	0.1102	0.5698	0.0115	0.5960	0.3387	-0.5222	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0044	13.187	4.290	5.207	0.1591	0.6386	-0.0483	0.4884	0.6881	-0.5975	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0045	18.395	8.944	-1.223	0.1931	0.6970	-0.0922	0.3404	0.5839	-0.4398	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0046	20.416	9.363	-6.762	0.2174	0.7103	-0.0986	0.2434	0.1326	-0.0637	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0047	18.280	5.950	-7.329	0.2235	0.6910	-0.0824	0.0606	-0.1926	0.1622	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0048	13.792	2.704	-5.772	0.1995	0.6643	-0.0739	-0.2403	-0.2672	0.0846	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0049	9.539	1.572	-2.750	0.1560	0.6285	-0.0694	-0.4344	-0.3578	0.0454	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0050	7.257	2.228	0.406	0.1106	0.5796	-0.0364	-0.4541	-0.4892	0.3296	1.000	0.000	0.003	0.000	1.000	0.000	-0.003	0.000	1.000
0.0051	6.892	3.047	-0.862	0.0695	0.5400	0.0282	-0.4108	-0.3958	0.6466	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0052	7.036	1.299	-4.205	0.0421	0.5312	0.0847	-0.2746	-0.0881	0.5645	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
0.0053	6.734	-3.309	-2.718	0.0369	0.5436	0.1053	-0.0522	0.1242	0.2065	1.000	0.000	0.004	0.000	1.000	0.000	-0.004	0.000	1.000
